Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
19,SSBS/M/2021/19,S-19,7/10/2021,Dapodi - Old sangvi Bridge,Genepath,31.6,33.2,33.7,Positive
23,SSBS/M/2021/23,S-23,8/10/2021,"Phugewadi-Dapodi, sai service",Genepath,37.5,0,37.5,Negative
24,SSBS/M/2021/24,S-24,8/10/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
42,SSBS/M/2021/42,S-42,13-10-2021,Dapodi - Old sangvi Bridge,Genepath,0,0,0,Negative
43,SSBS/M/2021/43,S-43,13-10-2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
44,SSBS/M/2021/44,S-44,13-10-2021,"Phugewadi-Dapodi, sai service",Genepath,0,0,0,Negative
69,SSBS/M/2021/69,S-69,21-10-2021,Dapodi - Old sangvi Bridge,Genepath,38.3,36.9,28.7,Negative
72,SSBS/M/2021/72,S-72,22-10-2021,"Phugewadi-Dapodi, sai service",Genepath,0,0,0,Negative
73,SSBS/M/2021/73,S-73,22-10-2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
115,SSBS/W/2021/115,S-115,12/11/2021,Dapodi - Old sangvi Bridge,Genepath,38.3,0,38.8,Negative
138,SSBS/W/2021/138,S-138,18-11-2021,Dapodi - Old sangvi Bridge,Genepath,0,0,41,Negative
142,SSBS/W/2021/142,S-142,19-11-2021,"Phugewadi-Dapodi, sai service",Genepath,0,0,0,Negative
143,SSBS/W/2021/143,S-143,19-11-2021,"Harris Bridge, Dapodi",Genepath,36.2,38.2,37.1,Negative
166,SSBS/W/2021/166,S-166,25-11-2021,Dapodi - Old sangvi Bridge,Genepath,0,37.8,0,Negative
170,SSBS/W/2021/170,S-170,26-11-2021,"Phugewadi-Dapodi, sai service",Genepath,0,0,0,Negative
171,SSBS/W/2021/171,S-171,26-11-2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
194,SSBS/W/2021/194,S-194,3/12/2021,Dapodi - Old sangvi Bridge,Genepath,36.16,0,0,Negative
198,SSBS/W/2021/198,S-198,4/12/2021,"Phugewadi-Dapodi, sai service",Genepath,37.88,37.82,0,Negative
199,SSBS/W/2021/199,S-199,4/12/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
222,SSBS/W/2021/222,S-222,9/12/2021,Dapodi - Old sangvi Bridge,Genepath,0,36.8,36.6,Positive
226,SSBS/W/2021/226,S-226,10/12/2021,"Phugewadi-Dapodi, sai service",Genepath,0,36.6,0,Negative
227,SSBS/W/2021/227,S-227,10/12/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
250,SSBS/W/2021/250,S-250,16-12-2021,Dapodi - Old sangvi Bridge,Genepath,0,0,0,Negative
