Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
12.0,SSBS/M/2021/12,S-12,06-10-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
60.0,SSBS/M/2021/60,S-60,20-10-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,35.1,35.6,38.3,Negative
88.0,SSBS/M/2021/88,S-88,27-10-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
94.0,SSBS/W/2021/94,S-94,09-11-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
129.0,SSBS/W/2021/129,S-129,17-11-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
157.0,SSBS/W/2021/157,S-157,24-11-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
184.0,SSBS/W/2021/184,S-184,01-12-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,36.8,33.5,36.46,Positive
217.0,SSBS/W/2021/217,S-217,08-12-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
241.0,SSBS/W/2021/241,S-241,15-12-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,38.0,38.0,35.0,Negative
269.0,SSBS/W/2021/269,S-269,22-12-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,34.62,36.92,34.18,Positive
296.0,SSBS/W/2021/296,S-296,29-12-2021,"Vitthalwadi hingne, off sinhagad road",Genepath,32.8,36.5,34.8,Positive
318.0,SSBS/W/2022/318,S-318,04-01-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,34.3,36.8,34.9,Positive
356.0,SSBS/W/2022/356,S-356,12-01-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,34.56,34.74,Positive
380.0,SSBS/W/2022/380,S-380,19-01-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,34.9,37.5,35.3,Positive
407.0,SSBS/W/2022/407,S-407,27-01-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
435.0,SSBS/W/2022/435,S-435,02-02-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,28.76,34.07,32.74,Positive
463.0,SSBS/S/2022/463,S-463,09-02-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,37.2,36.7,36.9,Positive
491.0,SSBS/S/2022/491,S-491,16-02-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,33.9,35.8,35.2,Positive
519.0,SSBS/S/2022/519,S-519,23-02-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,35.62,38.04,36.07,Positive
551.0,SSBS/S/2022/551,S-551,02-03-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,37.07,0.0,38.72,Negative
575.0,SSBS/S/2022/575,S-575,09-03-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,38.73,0.0,38.78,Negative
603.0,SSBS/S/2022/603,S-603,16-03-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,37.06,0.0,Negative
626.0,SSBS/S/2022/626,S-626,23-03-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,36.58,0.0,Negative
654.0,SSBS/S/2022/654,S-654,30-03-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
682.0,SSBS/S/2022/682,S-682,06-04-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
710.0,SSBS/S/2022/710,S-710,13-04-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
738.0,SSBS/S/2022/738,S-738,21-04-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
765.0,SSBS/S/2022/765,S-765,27-04-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,38.05666299,0.0,Negative
811.0,SSBS/S/2022/811,S-811,11-05-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
839.0,SSBS/S/2022/839,S-839,18-05-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
867.0,SSBS/S/2022/867,S-867,25-05-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
895.0,SSBS/S/2022/895,S-895,01-06-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,34.56,0.0,Negative
922.0,SSBS/S/2022/922,S-922,08-06-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
949.0,SSBS/S/2022/949,S-949,15-06-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,29.7,35.7,34.3,Positive
976.0,SSBS/S/2022/976,S-976,22-06-2024,"Vitthalwadi hingne, off sinhagad road",Genepath,28.0,32.0,31.0,Positive
1003.0,SSBS/S/2022/1003,S-1003,29-06-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,33.8,38.7,35.0,Positive
1028.0,SSBS/M/2022/1028,S-1028,06-07-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,28.0,32.2,31.3,Positive
1055.0,SSBS/M/2022/1055,S-1055,13-07-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,37.7,38.2,38.1,Negative
1080.0,SSBS/M/2022/1080,S-1080,20-07-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,0.0,Negative
1103.0,SSBS/M/2022/1103,S-1103,27-07-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,34.4,Negative
1129.0,SSBS/M/2022/1129,S-1129,03-08-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,29.96,33.32,34.25,Positive
1158.0,SSBS/M/2022/1158,S-1158,10-08-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,30.11,35.49,32.42,Positive
1170.0,SSBS/M/2022/1170,S-1170,17-08-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,29.34,34.62,30.89,Positive
1196.0,SSBS/M/2022/1196,S-1196,25-08-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,39.77,0.0,35.55,Negative
1233.0,SSBS/M/2022/1233,S-1233,07-09-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,28.62,38.61,30.83,Positive
1253.0,SSBS/M/2022/1253,S-1253,14-09-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,38.9008,0.0,0.0,Negative
1275.0,SSBS/M/2022/1275,S-1275,21-09-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,28.4627,33.8247,31.5629,Positive
1297.0,SSBS/M/2022/1297,S-1297,28-09-2022,"Vitthalwadi hingne, off sinhagad road",Genepath,0.0,0.0,35.44,Negative
