Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
9.0,SSBS/M/2021/9,S-9,05-10-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
34.0,SSBS/M/2021/34,S-34,12-10-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Inconclusive
58.0,SSBS/M/2021/58,S-58,19-10-2021,Jai bhavani nagar pashan,Genepath,34.7,0.0,37.7,Negative
86.0,SSBS/M/2021/86,S-86,26-10-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
110.0,SSBS/W/2021/110,S-110,11-11-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
127.0,SSBS/W/2021/127,S-127,16-10-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
155.0,SSBS/W/2021/155,S-155,23-11-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
183.0,SSBS/W/2021/183,S-183,30-11-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
210.0,SSBS/W/2021/210,S-210,07-12-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
239.0,SSBS/W/2021/239,S-239,14-12-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
264.0,SSBS/W/2021/264,S-264,21-12-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
288.0,SSBS/W/2021/288,S-288,24-12-2021,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
327.0,SSBS/W/2022/327,S-327,05-01-2022,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
345.0,SSBS/W/2022/345,S-345,11-01-2022,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
378.0,SSBS/W/2022/378,S-378,18-01-2022,Jai bhavani nagar pashan,Genepath,0.0,0.0,0.0,Negative
