Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
16.0,SSBS/M/2021/16,S-16,07-10-2021,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
39.0,SSBS/M/2021/39,S-39,13-10-2021,"Shastrinagar, pimpri",Genepath,35.1,35.7,37.0,Positive
66.0,SSBS/M/2021/66,S-66,21-10-2021,"Shastrinagar, pimpri",Genepath,32.1,35.8,35.5,Positive
112.0,SSBS/W/2021/112,S-112,12-11-2021,"Shastrinagar, pimpri",Genepath,39.1,0.0,0.0,Negative
135.0,SSBS/W/2021/135,S-135,18-11-2021,"Shastrinagar, pimpri",Genepath,40.4,0.0,40.36,Negative
163.0,SSBS/W/2021/163,S-163,25-11-2021,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
191.0,SSBS/W/2021/191,S-191,03-12-2021,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
219.0,SSBS/W/2021/219,S-219,09-12-2021,"Shastrinagar, pimpri",Genepath,37.24,36.72,35.26,Positive
247.0,SSBS/W/2021/247,S-247,16-12-2021,"Shastrinagar, pimpri",Genepath,34.0,37.0,35.0,Positive
275.0,SSBS/W/2021/275,S-275,23-12-2021,"Shastrinagar, pimpri",Genepath,33.85,0.0,34.21,Positive
281.0,SSBS/W/2021/281,S-281,24-12-2021,"Shastrinagar, pimpri",Genepath,35.1,0.0,37.0,Positive
302.0,SSBS/W/2021/302,S-302,30-12-2021,"Shastrinagar, pimpri",Genepath,32.3,35.1,33.5,Positive
330.0,SSBS/W/2022/330,S-330,06-01-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
358.0,SSBS/W/2022/358,S-358,13-01-2022,"Shastrinagar, pimpri",Genepath,29.33,32.28,32.62,Positive
388.0,SSBS/W/2022/388,S-388,20-01-2022,"Shastrinagar, pimpri",Genepath,31.0,35.5,32.5,Positive
415.0,SSBS/W/2022/415,S-415,28-01-2022,"Shastrinagar, pimpri",Genepath,31.7,32.4,29.5,Positive
419.0,SSBS/W/2022/419,S-419,29-01-2022,"Shastrinagar, pimpri",Genepath,30.95,36.3,34.42,Positive
441.0,SSBS/W/2022/441,S-441,03-02-2022,"Shastrinagar, pimpri",Genepath,29.21,33.77,32.4,Positive
471.0,SSBS/S/2022/471,S-471,10-02-2022,"Shastrinagar, pimpri",Genepath,36.59,35.72,35.27,Positive
499.0,SSBS/S/2022/499,S-499,17-02-2022,"Shastrinagar, pimpri",Genepath,33.5,35.4,34.5,Positive
525.0,SSBS/S/2022/525,S-525,24-02-2022,"Shastrinagar, pimpri",Genepath,35.0,37.2,35.27,Positive
553.0,SSBS/S/2022/553,S-553,03-03-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
582.0,SSBS/S/2022/582,S-582,10-03-2022,"Shastrinagar, pimpri",Genepath,38.66,0.0,41.55,Negative
611.0,SSBS/S/2022/611,S-611,17-03-2022,"Shastrinagar, pimpri",Genepath,0.0,37.39,0.0,Negative
632.0,SSBS/S/2022/632,S-632,24-03-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
662.0,SSBS/S/2022/662,S-662,31-03-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
690.0,SSBS/S/2022/690,S-690,07-04-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
733.0,SSBS/S/2022/733,S-733,20-04-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
767.0,SSBS/S/2022/767,S-767,28-04-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
789.0,SSBS/S/2022/789,S-789,05-05-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
819.0,SSBS/S/2022/819,S-819,12-05-2022,"Shastrinagar, pimpri",Genepath,37.6,0.0,0.0,Negative
847.0,SSBS/S/2022/847,S-847,19-05-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,36.1,Negative
873.0,SSBS/S/2022/873,S-873,26-05-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
900.0,SSBS/S/2022/900,S-900,02-06-2022,"Shastrinagar, pimpri",Genepath,35.24,34.72,0.0,Negative
929.0,SSBS/S/2022/929,S-929,09-06-2022,"Shastrinagar, pimpri",Genepath,0.0,0.0,0.0,Negative
956.0,SSBS/S/2022/956,S-956,16-06-2022,"Shastrinagar, pimpri",Genepath,30.5,35.9,35.2,Positive
979.0,SSBS/S/2022/979,S-979,23-06-2027,"Shastrinagar, pimpri",Genepath,32.0,35.0,33.0,Positive
1008.0,SSBS/S/2022/1008,S-1008,30-06-2022,"Shastrinagar, pimpri",Genepath,35.9,39.0,36.5,Negative
1033.0,SSBS/M/2022/1033,S-1033,07-07-2022,"Shastrinagar, pimpri",Genepath,0.0,34.2,33.5,Positive
1059.0,SSBS/M/2022/1059,S-1059,14-07-2022,"Shastrinagar, pimpri",Genepath,38.7,0.0,39.4,Negative
1082.0,SSBS/M/2022/1082,S-1082,21-07-2022,"Shastrinagar, pimpri",Genepath,32.5,36.5,35.2,Positive
1108.0,SSBS/M/2022/1108,S-1108,28-07-2022,"Shastrinagar, pimpri",Genepath,0.0,34.8,33.1,Positive
1134.0,SSBS/M/2022/1134,S-1134,04-08-2022,"Shastrinagar, pimpri",Genepath,31.57,38.73,35.33,Positive
1160.0,SSBS/M/2022/1160,S-1160,12-08-2022,"Shastrinagar, pimpri",Genepath,36.63,38.79,33.44,Negative
1174.0,SSBS/M/2022/1174,S-1174,18-08-2022,"Shastrinagar, pimpri",Genepath,32.25,38.86,32.81,Positive
