Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
14.0,SSBS/M/2021/14,S-14,06-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
63.0,SSBS/M/2021/63,S-63,20-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
91.0,SSBS/M/2021/91,S-91,27-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
97.0,SSBS/W/2021/97,S-97,09-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
132.0,SSBS/W/2021/132,S-132,17-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
160.0,SSBS/W/2021/160,S-160,24-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
188.0,SSBS/W/2021/188,S-188,01-12-2021,RTO office Yerwada,Genepath,36.26,35.24,0.0,Positive
213.0,SSBS/W/2021/213,S-213,08-12-2021,RTO office Yerwada,Genepath,35.27,0.0,36.7,Positive
244.0,SSBS/W/2021/244,S-244,15-12-2021,RTO office Yerwada,Genepath,33.0,35.0,33.0,Positive
272.0,SSBS/W/2021/272,S-272,22-12-2021,RTO office Yerwada,Genepath,36.05,38.25,34.91,Positive
299.0,SSBS/W/2021/299,S-299,29-12-2021,RTO office Yerwada,Genepath,30.6,35.1,33.4,Positive
321.0,SSBS/W/2022/321,S-321,04-01-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
352.0,SSBS/W/2022/352,S-352,12-01-2022,RTO office Yerwada,Genepath,29.6,33.28,32.69,Positive
410.0,SSBS/W/2022/410,S-410,27-01-2022,RTO office Yerwada,Genepath,31.1,30.3,30.8,Positive
439.0,SSBS/W/2022/439,S-439,02-02-2022,RTO office Yerwada,Genepath,30.57,35.46,34.18,Positive
466.0,SSBS/S/2022/466,S-466,09-02-2022,RTO office Yerwada,Genepath,34.0,34.66,34.82,Positive
494.0,SSBS/S/2022/494,S-494,16-02-2022,RTO office Yerwada,Genepath,35.5,36.9,35.3,Positive
522.0,SSBS/S/2022/522,S-522,23-02-2022,RTO office Yerwada,Genepath,35.35,37.05,34.41,Positive
547.0,SSBS/S/2022/547,S-547,02-03-2022,RTO office Yerwada,Genepath,36.73,39.0,0.0,Negative
577.0,SSBS/S/2022/577,S-577,09-03-2022,RTO office Yerwada,Genepath,39.27,0.0,40.12,Negative
606.0,SSBS/S/2022/606,S-606,16-03-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
629.0,SSBS/S/2022/629,S-629,23-03-2022,RTO office Yerwada,Genepath,0.0,37.86,37.2,Negative
657.0,SSBS/S/2022/657,S-657,30-03-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
685.0,SSBS/S/2022/685,S-685,06-04-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
713.0,SSBS/S/2022/713,S-713,13-04-2022,RTO office Yerwada,Genepath,0.0,39.09025,0.0,Negative
741.0,SSBS/S/2022/741,S-741,21-04-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
761.0,SSBS/S/2022/761,S-761,27-04-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
814.0,SSBS/S/2022/814,S-814,11-05-2022,RTO office Yerwada,Genepath,0.0,0.0,37.14,Negative
842.0,SSBS/S/2022/842,S-842,18-05-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
870.0,SSBS/S/2022/870,S-870,25-05-2022,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
897.0,SSBS/S/2022/897,S-897,01-06-2022,RTO office Yerwada,Genepath,0.0,33.46,0.0,Negative
924.0,SSBS/S/2022/924,S-924,08-06-2022,RTO office Yerwada,Genepath,35.66,36.29,36.63,Negative
951.0,SSBS/S/2022/951,S-951,15-06-2022,RTO office Yerwada,Genepath,36.6,35.2,35.6,Positive
1001.0,SSBS/S/2022/1001,S-1001,29-06-2022,RTO office Yerwada,Genepath,38.6,0.0,38.9,Negative
1030.0,SSBS/M/2022/1030,S-1030,06-07-2022,RTO office Yerwada,Genepath,28.0,32.3,31.3,Positive
1076.0,SSBS/M/2022/1076,S-1076,20-07-2022,RTO office Yerwada,Genepath,30.1,33.5,32.1,Positive
1105.0,SSBS/M/2022/1105,S-1105,27-07-2022,RTO office Yerwada,Genepath,30.2,34.1,32.4,Positive
1131.0,SSBS/M/2022/1131,S-1131,03-08-2022,RTO office Yerwada,Genepath,30.7,34.97,33.8,Positive
1155.0,SSBS/M/2022/1155,S-1155,10-08-2022,RTO office Yerwada,Genepath,30.96,36.77,33.79,Positive
