Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
4.0,SSBS/M/2021/4,S-4,04-10-2021,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
31.0,SSBS/M/2021/31,S-31,11-10-2021,Warje Mumbai-Bangalore Highway,Genepath,34.6,36.9,35.5,Positive
51.0,SSBS/M/2021/51,S-51,18-10-2021,Warje Mumbai-Bangalore Highway,Genepath,36.3,36.9,0.0,Positive
79.0,SSBS/M/2021/79,S-79,25-10-2021,Warje Mumbai-Bangalore Highway,Genepath,36.5,35.0,33.7,Positive
103.0,SSBS/W/2021/103,S-103,10-11-2021,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
120.0,SSBS/W/2021/120,S-120,15-11-2021,Warje Mumbai-Bangalore Highway,Genepath,36.5,38.7,37.0,Negative
148.0,SSBS/W/2021/148,S-148,22-11-2021,Warje Mumbai-Bangalore Highway,Genepath,37.7,39.0,38.31,Negative
176.0,SSBS/W/2021/176,S-176,29-11-2021,Warje Mumbai-Bangalore Highway,Genepath,33.32,36.5,36.33,Positive
204.0,SSBS/W/2021/204,S-204,06-12-2021,Warje Mumbai-Bangalore Highway,Genepath,34.41,36.3,36.0,Positive
232.0,SSBS/W/2021/232,S-232,13-12-2021,Warje Mumbai-Bangalore Highway,Genepath,33.0,38.0,30.0,Positive
260.0,SSBS/W/2021/260,S-260,20-12-2021,Warje Mumbai-Bangalore Highway,Genepath,33.31,37.03,35.57,Positive
293.0,SSBS/W/2021/293,S-293,28-12-2021,Warje Mumbai-Bangalore Highway,Genepath,31.2,35.1,34.1,Positive
315.0,SSBS/W/2022/315,S-315,03-01-2022,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
343.0,SSBS/W/2022/343,S-343,10-01-2022,Warje Mumbai-Bangalore Highway,Genepath,29.37,31.41,30.54,Positive
371.0,SSBS/W/2022/371,S-371,17-01-2022,Warje Mumbai-Bangalore Highway,Genepath,29.8,33.2,31.0,Positive
398.0,SSBS/W/2022/398,S-398,24-01-2022,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
426.0,SSBS/W/2022/426,S-426,31-01-2022,Warje Mumbai-Bangalore Highway,Genepath,30.11,34.98,34.57,Positive
454.0,SSBS/S/2022/454,S-454,07-02-2022,Warje Mumbai-Bangalore Highway,Genepath,35.26,35.74,35.62,Positive
482.0,SSBS/S/2022/482,S-482,14-02-2022,Warje Mumbai-Bangalore Highway,Genepath,34.1,37.1,36.2,Positive
510.0,SSBS/S/2022/510,S-510,21-02-2022,Warje Mumbai-Bangalore Highway,Genepath,35.88,36.93,35.5,Positive
535.0,SSBS/S/2022/535,S-535,28-02-2022,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
566.0,SSBS/S/2022/566,S-566,07-03-2022,Warje Mumbai-Bangalore Highway,Genepath,36.73,37.87,0.0,Positive
594.0,SSBS/S/2022/594,S-594,14-03-2022,Warje Mumbai-Bangalore Highway,Genepath,0.0,0.0,0.0,Negative
617.0,SSBS/S/2022/617,S-617,21-03-2022,Warje Mumbai-Bangalore Highway,Genepath,0.0,35.92,0.0,Negative
